instnm,sub_pref,course,course_title,academic_year
Texas A&M University-Kingsville,MEEN,2146,ENGINEERING MEASUREMENTS,2024
Texas A&M University-Kingsville,MEEN,1320,ELEM NUM METH & ENGR PROB SOLV,2024
Texas A&M University-Kingsville,MATH,1314,COLLEGE ALGEBRA,2024
Texas A&M University-Kingsville,MATH,302,DEVELOPMENTAL ALGEBRA,2024
Texas A&M University-Kingsville,ITEN,4340,LEADERSHIP AND SUPERVISION,2024
Texas A&M University-Kingsville,MATH,1350,FUNDAMENTALS OF MATHEMATICS I,2024
Texas A&M University-Kingsville,MATH,1348,ANALYTIC GEOMETRY,2024
Texas A&M University-Kingsville,MATH,1334,CONTEMPORARY MATHEMATICS,2024
Texas A&M University-Kingsville,MATH,1325,MATH FOR BUSINESS & ECON II,2024
Texas A&M University-Kingsville,MATH,1324,MATH FOR BUS AND ECON I,2024
Texas A&M University-Kingsville,MATH,1316,TRIGONOMETRY,2024
Texas A&M University-Kingsville,MUSI,1116,INTRO TO BASIC AURAL TRAINING,2024
Texas A&M University-Kingsville,MUSI,3397,ADVANCED CONDUCTING,2024
Texas A&M University-Kingsville,SCWK,4641,SOCIAL WORK PRACTICUM I,2024
Texas A&M University-Kingsville,SCWK,4323,DIVERSE POPULATIONS,2024
Texas A&M University-Kingsville,SCWK,4313,MENTAL HEALTH SOCIAL WORK,2024
Texas A&M University-Kingsville,SCWK,3333,SCWK RESEARCH & EVAL I (WI),2024
Texas A&M University-Kingsville,SCWK,3331,SOCIAL WORK PRACTICE I,2024
Texas A&M University-Kingsville,SCWK,3329,SOCIAL WELFARE: POLICY/ADVOC I,2024
Texas A&M University-Kingsville,SCWK,3325,HUMAN BEHAVIOR IN SOCI ENVIR I,2024
Texas A&M University-Kingsville,SCWK,2331,THE SOCIAL WORK PROFESSION I,2024
Texas A&M University-Kingsville,RWSC,4395,WILDLIFE RESEARCH & SCI. COMM.,2024
Texas A&M University-Kingsville,SCWK,4311,YOUTH & FAMILY SOCIAL WORK,2024
Texas A&M University-Kingsville,SOCI,1301,PRINCIPLES OF SOCIOLOGY,2024
Texas A&M University-Kingsville,SPAN,1313,ELEMENTARY SPANISH I,2024
Texas A&M University-Kingsville,SOCI,4336,DRUGS AND SOCIAL CONTROL,2024
Texas A&M University-Kingsville,SOCI,4320,LAW AND SOCIETY,2024
Texas A&M University-Kingsville,SOCI,4309,LATINA/O IMMIGRATION,2024
Texas A&M University-Kingsville,SOCI,4306,MEDICAL SOCIOLOGY,2024
Texas A&M University-Kingsville,SOCI,3381,STATISTICS FOR BEHAVIORAL SCI,2024
Texas A&M University-Kingsville,SOCI,3302,SOCIAL DEVIANCE,2024
Texas A&M University-Kingsville,SOCI,1306,SOCIAL PROBLEMS,2024
Texas A&M University-Kingsville,RWSC,4385,HUMAN WILDLIFE CONFLICT RES,2024
Texas A&M University-Kingsville,RWSC,4383,ECOL OF ARID AND SEMIARID LAND,2024
Texas A&M University-Kingsville,RWSC,4325,GRAZING MANAGEMENT & NUTRITION,2024
Texas A&M University-Kingsville,RWSC,4171,WILDLIFE CAPSTONE SEMINAR,2024
Texas A&M University-Kingsville,PSYC,4351,DIRECTED RESEARCH IN PSYC,2024
Texas A&M University-Kingsville,PSYC,4350,INTRO TO LEARNING & MEMORY,2024
Texas A&M University-Kingsville,PSYC,4342,SUBSTANCE ABUSE,2024
